date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,weatherDesc,location
2016-01-01 00:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-0,-2,1,-2,15,16,93,0.0,1016,0,10,249,9,[{'value': 'Clear'}],Boston
2016-01-01 03:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-1,-4,0,-4,23,20,90,0.0,1015,-0,10,265,14,[{'value': 'Clear'}],Boston
2016-01-01 06:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-1,-2,1,-2,14,20,90,0.0,1015,-0,10,236,8,[{'value': 'Sunny'}],Boston
2016-01-01 09:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-1,-2,2,-2,26,18,77,0.0,1015,2,10,273,18,[{'value': 'Sunny'}],Boston
2016-01-01 12:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,0,2,5,2,16,41,72,0.0,1013,5,10,274,13,[{'value': 'Partly cloudy'}],Boston
2016-01-01 15:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-0,-0,3,-0,17,14,82,0.0,1012,2,10,261,11,[{'value': 'Sunny'}],Boston
2016-01-01 18:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-1,-3,1,-3,21,44,88,0.0,1012,1,10,256,13,[{'value': 'Partly cloudy'}],Boston
2016-01-01 21:00:00,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-1,-4,0,-4,25,17,91,0.0,1012,-0,10,270,15,[{'value': 'Clear'}],Boston
2016-01-02 00:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-4,-6,-1,-6,21,23,84,0.0,1013,-2,10,267,13,[{'value': 'Clear'}],Boston
2016-01-02 03:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-4,-6,-2,-6,21,10,84,0.0,1013,-2,10,272,13,[{'value': 'Clear'}],Boston
2016-01-02 06:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-3,-4,-1,-4,17,6,84,0.0,1014,-1,10,238,12,[{'value': 'Sunny'}],Boston
2016-01-02 09:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-4,-4,1,-4,23,21,71,0.0,1015,1,10,267,17,[{'value': 'Sunny'}],Boston
2016-01-02 12:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-2,-0,3,-0,17,44,67,0.0,1013,3,10,278,14,[{'value': 'Partly cloudy'}],Boston
2016-01-02 15:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-2,-1,2,-1,15,3,74,0.0,1013,1,10,258,11,[{'value': 'Sunny'}],Boston
2016-01-02 18:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-1,-0,2,-0,9,1,82,0.0,1014,-1,10,259,7,[{'value': 'Clear'}],Boston
2016-01-02 21:00:00,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-3,-3,1,-3,15,0,75,0.0,1013,-1,10,231,11,[{'value': 'Clear'}],Boston
2016-01-03 00:00:00,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-1,0,3,0,10,2,76,0.0,1011,-1,10,219,8,[{'value': 'Clear'}],Boston
2016-01-03 03:00:00,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-5,-4,-0,-4,18,6,71,0.0,1010,-1,10,223,13,[{'value': 'Clear'}],Boston
2016-01-03 06:00:00,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-5,-3,0,-3,14,5,69,0.0,1009,-1,10,232,10,[{'value': 'Sunny'}],Boston
2016-01-03 09:00:00,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-5,-2,2,-2,25,2,58,0.0,1008,2,10,247,19,[{'value': 'Sunny'}],Boston
2016-01-03 12:00:00,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-2,4,6,4,13,3,55,0.0,1007,5,10,268,12,[{'value': 'Sunny'}],Boston
2016-01-03 15:00:00,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-2,-0,3,-0,19,6,71,0.0,1008,2,10,262,12,[{'value': 'Sunny'}],Boston
