date,time,temperature,humidity,windspeed,pressure,visibility,sunrise,sunset,weather
1451606400,0,1,93,9,1016,10,8,17,Clear
1451606400,3,0,90,14,1015,10,8,17,Clear
1451606400,6,1,90,8,1015,10,8,17,Sunny
1451606400,9,2,77,18,1015,10,8,17,Sunny
1451606400,12,5,72,13,1013,10,8,17,Partly cloudy
1451606400,15,3,82,11,1012,10,8,17,Sunny
1451606400,18,1,88,13,1012,10,8,17,Partly cloudy
1451606400,21,0,91,15,1012,10,8,17,Clear
1451692800,0,-1,84,13,1013,10,8,17,Clear
1451692800,3,-2,84,13,1013,10,8,17,Clear
1451692800,6,-1,84,12,1014,10,8,17,Sunny
1451692800,9,1,71,17,1015,10,8,17,Sunny
1451692800,12,3,67,14,1013,10,8,17,Partly cloudy
1451692800,15,2,74,11,1013,10,8,17,Sunny
1451692800,18,2,82,7,1014,10,8,17,Clear
1451692800,21,1,75,11,1013,10,8,17,Clear
1451779200,0,3,76,8,1011,10,8,17,Clear
1451779200,3,0,71,13,1010,10,8,17,Clear
1451779200,6,0,69,10,1009,10,8,17,Sunny
1451779200,9,2,58,19,1008,10,8,17,Sunny
1451779200,12,6,55,12,1007,10,8,17,Sunny
1451779200,15,3,71,12,1008,10,8,17,Sunny
1451779200,18,1,76,12,1009,10,8,17,Clear
1451779200,21,-5,74,15,1018,10,8,17,Clear
1451865600,0,-5,78,17,1016,10,8,17,Partly cloudy
1451865600,3,-5,79,18,1015,8,8,17,Light freezing rain
1451865600,6,-5,80,16,1014,10,8,17,Partly cloudy
1451865600,9,-3,74,23,1013,8,8,17,Patchy moderate snow
1451865600,12,0,70,16,1010,9,8,17,Partly cloudy
1451865600,15,0,75,21,1009,9,8,17,Patchy moderate snow
1451865600,18,-1,80,15,1009,10,8,17,Light freezing rain
1451865600,21,-2,79,20,1009,8,8,17,Patchy moderate snow
1451952000,0,-10,72,19,1028,10,8,17,Partly cloudy
1451952000,3,-11,69,16,1030,10,8,17,Clear
1451952000,6,-12,69,15,1032,10,8,17,Sunny
1451952000,9,-9,59,15,1033,10,8,17,Sunny
1451952000,12,-2,46,7,1033,10,8,17,Sunny
1451952000,15,-2,54,6,1034,10,8,17,Sunny
1451952000,18,-3,59,6,1035,10,8,17,Clear
1451952000,21,-4,67,10,1035,10,8,17,Clear
1452038400,0,-2,67,6,1034,10,8,17,Clear
1452038400,3,-3,61,9,1033,10,8,17,Clear
1452038400,6,-2,63,5,1033,10,8,17,Sunny
1452038400,9,0,46,13,1032,10,8,17,Sunny
1452038400,12,5,46,9,1030,10,8,17,Sunny
1452038400,15,1,58,12,1029,10,8,17,Sunny
1452038400,18,-1,58,11,1029,10,8,17,Clear
1452038400,21,-1,64,12,1028,10,8,17,Clear
1452124800,0,0,67,8,1027,10,8,17,Clear
1452124800,3,-2,64,9,1026,10,8,17,Clear
1452124800,6,-3,62,4,1027,10,8,17,Sunny
1452124800,9,2,51,4,1027,10,8,17,Partly cloudy
1452124800,12,5,59,5,1025,10,8,17,Partly cloudy
1452124800,15,2,74,5,1025,10,8,17,Sunny
1452124800,18,-1,89,4,1025,10,8,17,Clear
1452124800,21,0,85,8,1024,10,8,17,Clear
1452211200,0,3,88,8,1024,10,8,17,Clear
1452211200,3,1,93,9,1024,10,8,17,Clear
1452211200,6,0,93,10,1025,10,8,17,Cloudy
1452211200,9,4,88,12,1026,10,8,17,Overcast
1452211200,12,3,91,8,1024,10,8,17,Overcast
1452211200,15,3,92,10,1024,10,8,17,Overcast
1452211200,18,3,93,12,1025,10,8,17,Overcast
1452211200,21,3,94,10,1025,2,8,17,Mist
1452297600,0,3,93,9,1025,10,8,18,Overcast
1452297600,3,3,93,7,1025,10,8,18,Overcast
1452297600,6,2,95,6,1025,2,8,18,Mist
1452297600,9,4,91,4,1025,10,8,18,Overcast
1452297600,12,4,96,7,1024,2,8,18,Mist
1452297600,15,4,95,9,1024,2,8,18,Mist
1452297600,18,3,98,3,1024,0,8,18,Fog
1452297600,21,3,99,0,1024,2,8,18,Light drizzle
1452384000,0,4,97,8,1022,2,8,18,Mist
1452384000,3,5,98,11,1020,0,8,18,Fog
1452384000,6,7,98,15,1016,10,8,18,Overcast
1452384000,9,10,96,32,1010,7,8,18,Moderate rain
1452384000,12,11,94,33,1002,10,8,18,Overcast
1452384000,15,14,96,35,996,6,8,18,Moderate or heavy rain with thunder
1452384000,18,14,98,15,992,10,8,18,Cloudy
1452384000,21,10,91,19,994,10,8,18,Clear
1452470400,0,7,93,13,997,10,8,18,Partly cloudy
1452470400,3,2,78,24,1001,10,8,18,Partly cloudy
1452470400,6,0,72,15,1005,10,8,18,Sunny
1452470400,9,0,53,25,1008,10,8,18,Sunny
1452470400,12,1,43,24,1010,10,8,18,Cloudy
1452470400,15,0,43,18,1012,10,8,18,Cloudy
1452470400,18,-1,43,11,1015,10,8,18,Clear
1452470400,21,-3,35,16,1017,10,8,18,Clear
1452556800,0,-3,33,10,1019,10,8,18,Clear
1452556800,3,-3,34,6,1019,10,8,18,Partly cloudy
1452556800,6,-4,36,1,1019,10,8,18,Partly cloudy
1452556800,9,-2,37,13,1017,10,8,18,Partly cloudy
1452556800,12,2,47,9,1012,10,8,18,Partly cloudy
1452556800,15,2,71,12,1008,5,8,18,Moderate snow
1452556800,18,2,91,14,1005,10,8,18,Overcast
1452556800,21,1,95,9,1001,5,8,18,Patchy heavy snow
1452643200,0,-1,97,7,999,2,8,18,Mist
1452643200,3,-3,66,23,1002,10,8,18,Patchy light snow
1452643200,6,-4,67,17,1004,10,8,18,Partly cloudy
1452643200,9,-3,49,33,1007,10,8,18,Partly cloudy
1452643200,12,-2,46,30,1008,10,8,18,Partly cloudy
1452643200,15,-4,45,25,1010,10,8,18,Sunny
1452643200,18,-4,51,13,1013,10,8,18,Clear
1452643200,21,-6,59,17,1013,10,8,18,Partly cloudy
1452729600,0,-6,67,8,1013,10,8,18,Partly cloudy
1452729600,3,-6,68,13,1012,10,8,18,Cloudy
1452729600,6,-6,69,9,1012,10,8,18,Overcast
1452729600,9,-5,62,14,1012,10,8,18,Patchy light snow
1452729600,12,-2,58,10,1010,10,8,18,Partly cloudy
1452729600,15,-2,59,13,1011,10,8,18,Sunny
1452729600,18,-3,68,9,1014,10,8,18,Clear
1452729600,21,-3,73,12,1015,10,8,18,Clear
1452816000,0,-3,77,7,1015,10,8,18,Partly cloudy
1452816000,3,-3,75,4,1015,10,8,18,Cloudy
1452816000,6,-2,67,1,1017,10,8,18,Overcast
1452816000,9,0,59,6,1016,10,8,18,Overcast
1452816000,12,3,58,6,1014,10,8,18,Partly cloudy
1452816000,15,2,75,8,1013,10,8,18,Sunny
1452816000,18,1,96,4,1012,2,8,18,Mist
1452816000,21,2,97,9,1009,0,8,18,Fog
1452902400,0,3,99,5,1004,0,8,18,Fog
1452902400,3,4,100,13,999,9,8,18,Light rain
1452902400,6,4,98,17,994,10,8,18,Overcast
1452902400,9,3,96,22,994,7,8,18,Moderate rain
1452902400,12,2,92,13,997,10,8,18,Overcast
1452902400,15,2,96,6,1000,2,8,18,Mist
1452902400,18,1,98,8,1003,0,8,18,Fog
1452902400,21,1,94,14,1005,10,8,18,Clear
1452988800,0,1,95,11,1006,2,8,18,Mist
1452988800,3,0,92,12,1009,10,8,18,Clear
1452988800,6,-1,92,4,1010,10,8,18,Sunny
1452988800,9,1,73,11,1011,10,8,18,Partly cloudy
1452988800,12,2,73,7,1010,10,8,18,Overcast
1452988800,15,0,81,9,1008,10,8,18,Overcast
1452988800,18,0,92,10,1005,10,8,18,Overcast
1452988800,21,-1,94,14,1004,2,8,18,Heavy snow
1453075200,0,-2,93,11,1002,10,8,18,Overcast
1453075200,3,-3,96,13,1001,2,8,18,Heavy snow
1453075200,6,-2,96,8,1002,2,8,18,Mist
1453075200,9,-5,84,25,1003,5,8,18,Patchy heavy snow
1453075200,12,-3,79,21,1002,10,8,18,Overcast
1453075200,15,-6,78,24,1004,7,8,18,Moderate or heavy snow showers
1453075200,18,-7,82,15,1006,10,8,18,Partly cloudy
1453075200,21,-8,83,20,1007,10,8,18,Partly cloudy
1453161600,0,-9,83,18,1006,10,8,18,Clear
1453161600,3,-10,78,25,1007,10,8,18,Clear
1453161600,6,-9,81,17,1007,10,8,18,Partly cloudy
1453161600,9,-7,67,31,1007,10,8,18,Partly cloudy
1453161600,12,-5,70,24,1005,10,8,18,Overcast
1453161600,15,-6,71,30,1008,10,8,18,Sunny
1453161600,18,-7,80,15,1010,10,8,18,Partly cloudy
1453161600,21,-8,85,14,1012,10,8,18,Partly cloudy
1453248000,0,-7,87,12,1013,10,8,18,Clear
1453248000,3,-7,83,19,1015,10,8,18,Clear
1453248000,6,-7,83,19,1018,10,8,18,Sunny
1453248000,9,-5,73,24,1018,10,8,18,Partly cloudy
1453248000,12,-1,73,20,1016,10,8,18,Sunny
1453248000,15,-3,75,21,1016,10,8,18,Partly cloudy
1453248000,18,-3,77,12,1017,10,8,18,Overcast
1453248000,21,-4,80,13,1017,10,8,18,Partly cloudy
1453334400,0,-4,82,9,1016,10,8,18,Clear
1453334400,3,-6,79,14,1016,10,8,18,Clear
1453334400,6,-6,79,9,1017,10,8,18,Sunny
1453334400,9,-4,66,20,1017,10,8,18,Sunny
1453334400,12,-1,62,18,1016,10,8,18,Sunny
1453334400,15,-3,68,17,1017,10,8,18,Sunny
1453334400,18,-3,75,13,1019,10,8,18,Clear
1453334400,21,-6,73,19,1020,10,8,18,Clear
1453420800,0,-7,74,17,1021,10,8,18,Clear
1453420800,3,-8,74,21,1022,10,8,18,Clear
1453420800,6,-6,72,12,1022,10,8,18,Sunny
1453420800,9,-5,64,15,1024,10,8,18,Sunny
1453420800,12,-2,57,10,1022,10,8,18,Cloudy
1453420800,15,-2,67,8,1022,10,8,18,Sunny
1453420800,18,-4,79,7,1022,10,8,18,Overcast
1453420800,21,-4,82,7,1022,10,8,18,Partly cloudy
1453507200,0,-3,78,10,1022,10,8,18,Cloudy
1453507200,3,-3,77,15,1020,10,8,18,Partly cloudy
1453507200,6,-2,80,18,1018,10,8,18,Overcast
1453507200,9,-1,81,26,1017,5,8,18,Moderate snow
1453507200,12,-1,82,30,1011,10,8,18,Overcast
1453507200,15,-2,87,35,1007,0,8,18,Blizzard
1453507200,18,-2,93,23,1008,10,8,18,Overcast
1453507200,21,-2,93,29,1007,0,8,18,Blizzard
1453593600,0,-6,89,31,1006,10,8,18,Overcast
1453593600,3,-6,88,24,1007,10,8,18,Patchy light snow
1453593600,6,-7,89,17,1010,10,8,18,Sunny
1453593600,9,-5,79,20,1011,10,8,18,Sunny
1453593600,12,1,69,9,1011,10,8,18,Sunny
1453593600,15,-1,81,8,1013,10,8,18,Partly cloudy
1453593600,18,-4,88,5,1015,10,8,18,Cloudy
1453593600,21,-4,86,9,1016,10,8,18,Partly cloudy
1453680000,0,-4,86,8,1018,10,8,18,Partly cloudy
1453680000,3,-5,88,8,1019,10,8,18,Clear
1453680000,6,-5,89,8,1023,10,8,18,Sunny
1453680000,9,-1,81,7,1024,10,8,18,Sunny
1453680000,12,3,78,4,1025,10,8,18,Sunny
1453680000,15,1,87,5,1026,10,8,18,Sunny
1453680000,18,-2,92,8,1026,10,8,18,Partly cloudy
1453680000,21,-2,87,9,1026,10,8,18,Clear
1453766400,0,-2,92,8,1024,10,8,18,Clear
1453766400,3,-1,89,12,1022,10,8,18,Clear
1453766400,6,1,95,10,1020,2,8,18,Mist
1453766400,9,5,87,23,1017,10,8,18,Sunny
1453766400,12,8,91,17,1013,10,8,18,Partly cloudy
1453766400,15,6,98,22,1012,10,8,18,Cloudy
1453766400,18,5,98,15,1011,10,8,18,Cloudy
1453766400,21,5,99,18,1012,10,8,18,Cloudy
1453852800,0,3,100,8,1012,0,8,18,Fog
1453852800,3,2,95,10,1012,2,8,18,Mist
1453852800,6,3,95,6,1013,2,8,18,Mist
1453852800,9,4,86,11,1014,10,8,18,Sunny
1453852800,12,6,79,12,1013,10,8,18,Partly cloudy
1453852800,15,4,83,14,1015,10,8,18,Sunny
1453852800,18,2,92,9,1017,10,8,18,Clear
1453852800,21,0,92,10,1019,10,8,18,Clear
1453939200,0,2,93,4,1019,10,8,18,Clear
1453939200,3,1,89,7,1019,10,8,18,Clear
1453939200,6,1,88,4,1018,10,8,18,Sunny
1453939200,9,3,69,10,1016,10,8,18,Sunny
1453939200,12,5,68,13,1012,10,8,18,Sunny
1453939200,15,2,82,10,1010,10,8,18,Partly cloudy
1453939200,18,0,93,7,1009,10,8,18,Overcast
1453939200,21,0,96,8,1007,2,8,18,Mist
1454025600,0,0,97,5,1004,0,8,18,Freezing fog
1454025600,3,0,98,2,1001,0,8,18,Freezing fog
1454025600,6,0,97,3,998,0,8,18,Freezing fog
1454025600,9,3,91,7,996,10,8,18,Partly cloudy
1454025600,12,5,82,6,994,10,8,18,Overcast
1454025600,15,3,88,8,996,5,8,18,Patchy heavy snow
1454025600,18,1,95,10,999,2,8,18,Mist
1454025600,21,0,90,18,1002,10,8,18,Clear
1454112000,0,-1,94,9,1006,2,8,18,Mist
1454112000,3,-1,88,16,1010,10,8,18,Clear
1454112000,6,-1,88,10,1015,10,8,18,Sunny
1454112000,9,1,72,11,1016,10,8,18,Sunny
1454112000,12,4,65,10,1015,10,8,18,Cloudy
1454112000,15,2,75,13,1015,10,8,18,Partly cloudy
1454112000,18,1,81,14,1014,10,8,18,Partly cloudy
1454112000,21,1,69,19,1014,10,8,18,Partly cloudy
1454198400,0,2,73,17,1013,10,8,18,Cloudy
1454198400,3,2,80,18,1013,10,8,18,Cloudy
1454198400,6,2,86,11,1013,10,8,18,Cloudy
1454198400,9,4,80,15,1013,10,8,18,Cloudy
1454198400,12,11,74,9,1011,10,8,18,Partly cloudy
1454198400,15,9,87,14,1011,10,8,18,Sunny
1454198400,18,7,96,10,1011,2,8,18,Mist
1454198400,21,7,94,16,1010,10,8,18,Clear
1454284800,0,6,93,15,1008,10,8,18,Clear
1454284800,3,7,96,18,1006,10,8,18,Cloudy
1454284800,6,8,89,16,1005,10,8,18,Partly cloudy
1454284800,9,13,83,23,1006,10,8,18,Partly cloudy
1454284800,12,15,72,15,1006,10,8,18,Partly cloudy
1454284800,15,10,64,19,1010,10,8,18,Cloudy
1454284800,18,8,73,8,1013,10,8,18,Cloudy
1454284800,21,5,84,8,1016,10,8,18,Partly cloudy
1454371200,0,3,88,6,1018,10,8,18,Partly cloudy
1454371200,3,2,91,9,1020,10,8,18,Clear
1454371200,6,2,95,6,1023,2,8,18,Mist
1454371200,9,8,70,10,1025,10,8,18,Sunny
1454371200,12,9,54,6,1026,10,8,18,Sunny
1454371200,15,8,63,5,1027,10,8,18,Sunny
1454371200,18,5,76,5,1029,10,8,18,Clear
1454371200,21,2,84,4,1029,10,8,18,Partly cloudy
1454457600,0,2,93,5,1028,10,8,18,Partly cloudy
1454457600,3,2,89,9,1028,10,8,18,Clear
1454457600,6,2,88,9,1028,10,8,18,Partly cloudy
1454457600,9,6,77,23,1024,10,8,18,Cloudy
1454457600,12,8,89,17,1020,10,8,18,Overcast
1454457600,15,11,95,27,1017,7,8,18,Moderate rain
1454457600,18,13,93,27,1013,10,8,18,Overcast
1454457600,21,14,94,37,1012,9,8,18,Light rain
1454544000,0,14,93,18,1011,10,8,18,Overcast
1454544000,3,13,96,19,1011,10,8,18,Light rain shower
1454544000,6,13,97,10,1012,0,8,18,Fog
1454544000,9,12,95,13,1014,9,8,18,Light rain
1454544000,12,11,87,4,1014,10,8,18,Partly cloudy
1454544000,15,11,83,7,1017,10,8,18,Sunny
1454544000,18,8,83,6,1018,10,8,18,Overcast
1454544000,21,7,83,7,1019,2,8,18,Light drizzle
1454630400,0,6,87,8,1018,10,8,18,Overcast
1454630400,3,4,92,15,1017,7,8,18,Moderate rain
1454630400,6,2,88,17,1017,10,8,18,Overcast
1454630400,9,1,96,22,1017,2,8,18,Heavy snow
1454630400,12,0,97,20,1014,10,8,18,Overcast
1454630400,15,-1,95,23,1016,5,8,18,Patchy heavy snow
1454630400,18,-2,93,13,1020,10,8,18,Clear
1454630400,21,-5,92,16,1023,10,8,18,Clear
1454716800,0,-4,94,10,1025,10,8,18,Clear
1454716800,3,-6,93,7,1026,10,8,18,Clear
1454716800,6,-6,91,6,1028,10,8,18,Sunny
1454716800,9,-1,87,8,1029,10,8,18,Cloudy
1454716800,12,2,91,11,1027,10,8,18,Sunny
1454716800,15,0,91,15,1025,10,8,18,Sunny
1454716800,18,-1,94,11,1025,10,8,18,Clear
1454716800,21,-2,92,14,1025,10,8,18,Clear
1454803200,0,-1,94,11,1023,2,8,18,Mist
1454803200,3,-2,95,11,1023,2,8,18,Mist
1454803200,6,-4,97,3,1022,0,8,18,Freezing fog
1454803200,9,3,94,4,1021,10,8,18,Sunny
1454803200,12,7,90,3,1021,10,8,18,Sunny
1454803200,15,4,94,6,1020,2,8,18,Mist
1454803200,18,1,94,9,1020,10,8,18,Cloudy
1454803200,21,1,91,15,1018,10,8,18,Overcast
1454889600,0,2,92,19,1015,10,8,18,Overcast
1454889600,3,0,89,31,1013,10,8,18,Light snow
1454889600,6,-2,91,28,1012,10,8,18,Overcast
1454889600,9,-4,95,32,1010,0,8,18,Blizzard
1454889600,12,-7,96,25,1008,10,8,18,Overcast
1454889600,15,-7,96,26,1007,2,8,18,Heavy snow
1454889600,18,-7,96,20,1007,10,8,18,Overcast
1454889600,21,-6,97,18,1009,2,8,18,Heavy snow
1454976000,0,-6,97,12,1008,2,8,18,Mist
1454976000,3,-7,97,12,1007,5,8,18,Moderate snow
1454976000,6,-7,98,8,1007,0,8,18,Freezing fog
1454976000,9,-5,98,12,1006,5,8,18,Moderate snow
1454976000,12,-3,95,9,1002,2,8,18,Mist
1454976000,15,-3,96,9,1002,5,8,18,Moderate snow
1454976000,18,-5,98,5,1003,0,8,18,Freezing fog
1454976000,21,-4,96,3,1004,2,8,18,Mist
1455062400,0,-9,97,5,1002,2,8,18,Mist
1455062400,3,-7,98,8,1003,0,8,18,Freezing fog
1455062400,6,-8,97,5,1003,0,8,18,Freezing fog
1455062400,9,-1,95,7,1003,2,8,18,Mist
1455062400,12,1,100,4,1001,0,8,18,Fog
1455062400,15,1,100,9,1001,5,8,18,Moderate snow
1455062400,18,-2,98,7,1003,0,8,18,Freezing fog
1455062400,21,-3,94,14,1004,10,8,18,Clear
1455148800,0,-4,95,10,1003,2,8,18,Mist
1455148800,3,-6,96,12,1004,2,8,18,Mist
1455148800,6,-6,96,8,1005,2,8,18,Mist
1455148800,9,-4,93,17,1006,2,8,18,Heavy snow
1455148800,12,-4,91,18,1006,10,8,18,Overcast
1455148800,15,-7,90,22,1009,7,8,18,Moderate or heavy snow showers
1455148800,18,-10,92,18,1012,10,8,18,Partly cloudy
1455148800,21,-13,91,21,1016,10,8,18,Clear
1455235200,0,-14,94,14,1018,10,8,18,Partly cloudy
1455235200,3,-14,92,14,1020,10,8,18,Clear
1455235200,6,-13,95,8,1022,2,8,18,Mist
1455235200,9,-11,86,12,1022,10,8,18,Sunny
1455235200,12,-6,88,9,1020,10,8,18,Partly cloudy
1455235200,15,-6,90,11,1018,10,8,18,Light snow showers
1455235200,18,-7,90,7,1016,10,8,18,Overcast
1455235200,21,-8,93,5,1014,5,8,18,Moderate snow
1455321600,0,-9,94,4,1012,10,8,18,Overcast
1455321600,3,-9,93,7,1009,10,8,18,Partly cloudy
1455321600,6,-8,95,5,1009,2,8,18,Mist
1455321600,9,-7,89,25,1010,2,8,18,Heavy snow
1455321600,12,-6,87,18,1010,10,8,18,Overcast
1455321600,15,-12,85,30,1014,0,8,18,Blizzard
1455321600,18,-16,88,20,1019,10,8,18,Partly cloudy
1455321600,21,-20,87,24,1021,10,8,18,Cloudy
1455408000,0,-21,90,16,1022,10,8,18,Overcast
1455408000,3,-22,89,22,1023,10,8,18,Cloudy
1455408000,6,-23,90,18,1027,10,8,18,Sunny
1455408000,9,-19,86,19,1029,10,8,18,Sunny
1455408000,12,-13,82,15,1029,10,8,18,Partly cloudy
1455408000,15,-13,86,17,1030,10,8,18,Sunny
1455408000,18,-13,94,8,1032,10,8,18,Clear
1455408000,21,-14,91,9,1033,10,8,18,Clear
1455494400,0,-12,93,5,1034,10,8,18,Clear
1455494400,3,-15,90,8,1035,10,8,18,Clear
1455494400,6,-16,88,1,1036,10,8,18,Cloudy
1455494400,9,-11,77,6,1036,10,8,18,Overcast
1455494400,12,-7,74,4,1034,10,8,18,Cloudy
1455494400,15,-6,85,7,1033,10,8,18,Overcast
1455494400,18,-5,97,5,1031,2,8,18,Mist
1455494400,21,-1,99,10,1027,7,8,18,Moderate rain
1455580800,0,2,100,2,1022,0,8,18,Fog
1455580800,3,4,100,19,1020,7,8,18,Moderate rain
1455580800,6,5,100,13,1019,10,8,18,Cloudy
1455580800,9,9,99,25,1015,10,8,18,Partly cloudy
1455580800,12,9,96,18,1010,10,8,18,Overcast
1455580800,15,11,96,34,1002,9,8,18,Light rain
1455580800,18,9,100,23,998,10,8,18,Overcast
1455580800,21,8,99,20,1002,10,8,18,Cloudy
1455667200,0,3,97,11,1005,0,8,18,Fog
1455667200,3,1,92,10,1007,10,8,18,Clear
1455667200,6,1,91,9,1010,10,8,18,Overcast
1455667200,9,3,80,17,1012,10,8,18,Sunny
1455667200,12,6,74,9,1012,10,8,18,Partly cloudy
1455667200,15,5,80,8,1015,10,8,18,Cloudy
1455667200,18,2,85,11,1018,10,8,18,Cloudy
1455667200,21,0,84,9,1020,10,8,18,Clear
1455753600,0,0,85,8,1020,10,8,18,Partly cloudy
1455753600,3,-1,81,15,1023,10,8,18,Clear
1455753600,6,-1,74,12,1025,10,8,18,Sunny
1455753600,9,-1,55,21,1027,10,8,18,Sunny
1455753600,12,0,49,16,1027,10,8,18,Sunny
1455753600,15,-1,59,17,1029,10,8,18,Light snow
1455753600,18,-1,64,12,1031,10,8,18,Cloudy
1455753600,21,-3,68,15,1033,10,8,18,Clear
1455840000,0,-2,65,13,1033,10,8,18,Clear
1455840000,3,-2,65,11,1033,10,8,18,Clear
1455840000,6,-3,65,6,1035,10,8,18,Sunny
1455840000,9,1,41,3,1035,10,8,18,Sunny
1455840000,12,4,31,6,1032,10,8,18,Sunny
1455840000,15,3,39,9,1029,10,8,18,Cloudy
1455840000,18,0,59,10,1027,10,8,18,Overcast
1455840000,21,0,71,16,1026,10,8,18,Overcast
1455926400,0,1,88,13,1023,10,8,18,Overcast
1455926400,3,3,94,22,1019,9,8,18,Light rain
1455926400,6,5,96,15,1015,10,8,18,Overcast
1455926400,9,7,88,24,1013,10,8,18,Cloudy
1455926400,12,12,77,13,1010,10,8,18,Sunny
1455926400,15,11,81,16,1009,10,8,18,Sunny
1455926400,18,8,91,11,1008,10,8,18,Cloudy
1455926400,21,8,85,21,1008,10,8,18,Partly cloudy
1456012800,0,8,91,15,1007,10,8,18,Clear
1456012800,3,7,94,15,1008,10,8,18,Partly cloudy
1456012800,6,7,86,9,1010,10,8,18,Sunny
1456012800,9,8,67,18,1012,10,8,18,Sunny
1456012800,12,11,63,13,1011,10,8,18,Cloudy
1456012800,15,9,70,14,1012,10,8,18,Partly cloudy
1456012800,18,6,88,8,1014,10,8,18,Overcast
1456012800,21,4,87,9,1015,10,8,18,Overcast
1456099200,0,3,76,8,1015,10,8,18,Overcast
1456099200,3,1,73,13,1015,10,8,18,Clear
1456099200,6,1,75,6,1018,10,8,18,Sunny
1456099200,9,3,56,12,1020,10,8,18,Sunny
1456099200,12,7,46,2,1020,10,8,18,Cloudy
1456099200,15,5,54,9,1021,10,8,18,Partly cloudy
1456099200,18,0,68,6,1025,10,8,18,Partly cloudy
