LOCATIONID,LAT,LON,POLICE_DISTRICT,DISTRICT
1,42.36,-71.14,D14,Brighton
2,42.31,-71.06,C11,Dorchester
3,42.35,-71.07,D4,South End
4,42.33,-71.08,D4,South End
5,42.28,-71.09,B3,Mattapan
6,42.29,-71.07,C11,Dorchester
7,42.31,-71.08,B2,Roxbury
8,42.33,-71.11,B2,Roxbury
9,42.33,-71.07,C6,South Boston
10,42.3,-71.06,C11,Dorchester
11,42.32,-71.04,C6,South Boston
12,42.34,-71.05,C6,South Boston
13,42.35,-71.09,D4,South End
14,42.29,-71.09,B3,Mattapan
15,42.28,-71.1,B3,Mattapan
16,42.35,-71.07,,
17,42.31,-71.07,C11,Dorchester
18,42.35,-71.08,D4,South End
19,42.33,-71.1,B2,Roxbury
20,42.33,-71.07,B2,Roxbury
21,-1.0,-1.0,,
22,42.36,-71.07,A1,Downtown?
23,42.28,-71.08,B3,Mattapan
24,42.28,-71.14,E5,West Roxbury
25,42.34,-71.09,B2,Roxbury
26,42.28,-71.06,,
27,42.33,-71.07,D4,South End
28,42.32,-71.06,C11,Dorchester
29,42.3,-71.09,B3,Mattapan
30,42.28,-71.09,B3,Mattapan
31,42.29,-71.09,B3,Mattapan
32,42.3,-71.06,C11,Dorchester
33,42.31,-71.08,B2,Roxbury
34,42.37,-71.04,A7,East Boston
35,42.28,-71.09,B3,Mattapan
36,42.33,-71.08,B2,Roxbury
37,42.32,-71.1,E13,Jamaica Plain
38,42.29,-71.08,B3,Mattapan
39,42.31,-71.08,,
40,,,A1,Downtown?
41,42.34,-71.08,D4,South End
42,42.28,-71.07,C11,Dorchester
43,42.3,-71.08,B3,Mattapan
44,42.34,-71.1,B2,Roxbury
45,42.3,-71.06,C11,Dorchester
46,42.35,-71.06,A1,Downtown?
47,42.3,-71.08,B3,Mattapan
48,42.29,-71.13,E5,West Roxbury
49,42.32,-71.06,C11,Dorchester
50,42.36,-71.06,A1,Downtown?
51,42.31,-71.07,B2,Roxbury
52,42.35,-71.05,C6,South Boston
53,42.32,-71.08,B2,Roxbury
54,42.26,-71.12,E18,Hyde Park
55,42.34,-71.15,D14,Brighton
56,42.29,-71.09,,
57,42.32,-71.1,,
58,42.35,-71.08,D4,South End
59,42.33,-71.1,B2,Roxbury
60,42.31,-71.11,E13,Jamaica Plain
61,42.28,-71.07,C11,Dorchester
62,42.32,-71.09,B2,Roxbury
63,42.27,-71.13,E18,Hyde Park
64,42.34,-71.08,D4,South End
65,42.35,-71.08,D4,South End
66,42.33,-71.08,B2,Roxbury
67,42.32,-71.06,C11,Dorchester
68,42.27,-71.15,E5,West Roxbury
69,42.28,-71.12,E18,Hyde Park
70,42.27,-71.12,E18,Hyde Park
71,42.28,-71.1,B3,Mattapan
72,42.29,-71.04,C11,Dorchester
73,42.34,-71.08,D4,South End
74,42.36,-71.05,A1,Downtown?
75,42.34,-71.15,D14,Brighton
76,42.35,-71.15,D14,Brighton
77,42.37,-71.07,A1,Downtown?
78,42.34,-71.08,,
79,42.35,-71.08,D4,South End
80,42.29,-71.07,B3,Mattapan
81,42.34,-71.11,,
82,42.36,-71.06,A1,Downtown?
83,42.35,-71.13,D14,Brighton
