LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
1,LINCOLN ST,42.35779134,-71.13937053,D14,Brighton
2,HECLA ST,42.30682138,-71.06030035,C11,Dorchester
3,CAZENOVE ST,42.34658879,-71.07242943,D4,South End
4,NEWCOMB ST,42.33418175,-71.07866441,D4,South End
5,DELHI ST,42.27536542,-71.09036101,B3,Mattapan
6,TALBOT AVE,42.29019621,-71.07159012,C11,Dorchester
7,NORMANDY ST,42.30607218,-71.0827326,B2,Roxbury
8,LAWN ST,42.32701648,-71.10555088,B2,Roxbury
9,MASSACHUSETTS AVE,42.33152148,-71.07085307,C6,South Boston
10,LESLIE ST,42.29514664,-71.05860832,C11,Dorchester
11,OCEAN VIEW DR,42.31957856,-71.04032766,C6,South Boston
12,DALESSIO CT,42.34011469,-71.05339029,C6,South Boston
13,MARLBOROUGH ST,42.3503876,-71.0878529,D4,South End
14,WOODROW AVE,42.28647012,-71.08714661,B3,Mattapan
15,MULVEY ST,42.27924052,-71.09667382,B3,Mattapan
17,STONEHURST ST,42.30526428,-71.06683755,C11,Dorchester
18,HUNTINGTON AVE,42.34857652,-71.07772012,D4,South End
19,HORADAN WAY,42.33371742,-71.09665806,B2,Roxbury
20,SHIRLEY ST,42.3256949,-71.06816778,B2,Roxbury
22,BEACON ST,42.35564426,-71.07168077,A1,Downtown
23,CAPEN ST,42.28340243,-71.0807974,B3,Mattapan
24,WASHINGTON ST,42.27581799,-71.13991259,E5,West Roxbury
25,ANNUNCIATION RD,42.33506218,-71.09316781,B2,Roxbury
27,MASSACHUSETTS AVE,42.33311189,-71.0727637,D4,South End
28,ANNAPOLIS ST,42.31731905,-71.06150882,C11,Dorchester
29,BLUE HILL AVE,42.29590385,-71.08773294,B3,Mattapan
30,CLARKWOOD ST,42.28013735,-71.09079826,B3,Mattapan
31,HANSBOROUGH ST,42.28810362,-71.09153335,B3,Mattapan
32,SALISBURY PARK,42.29928376,-71.059172,C11,Dorchester
33,COLUMBIA RD,42.30524752,-71.08089418,B2,Roxbury
34,COTTAGE ST,42.36742605,-71.03547266,A7,East Boston
35,WILMORE ST,42.2779637,-71.09246318,B3,Mattapan
36,SHAWMUT AVE,42.33318299,-71.08307607,B2,Roxbury
37,BRAGDON ST,42.31888243,-71.09929423,E13,Jamaica Plain
38,CALLENDER ST,42.28848287,-71.08259001,B3,Mattapan
41,W NEWTON ST,42.34385799,-71.07953502,D4,South End
42,WASHINGTON ST,42.28492596,-71.07135254,C11,Dorchester
43,ELLINGTON ST,42.30154555,-71.08118184,B3,Mattapan
44,WARD ST,42.33511145,-71.09592156,B2,Roxbury
45,GENEVA AVE,42.29848866,-71.06313294,C11,Dorchester
46,BEACH ST,42.351084,-71.059395,A1,Downtown
47,NIGHTINGALE ST,42.29540175,-71.08237834,B3,Mattapan
48,WASHINGTON ST,42.28788933,-71.12658585,E5,West Roxbury
49,E COTTAGE ST,42.31866067,-71.05881776,C11,Dorchester
50,WINTER ST,42.35602373,-71.06177615,A1,Downtown
51,WAYLAND ST,42.31368925,-71.0742708,B2,Roxbury
52,A ST,42.34754258,-71.0506621,C6,South Boston
53,PERRIN ST,42.3218854,-71.07906279,B2,Roxbury
54,LEXINGTON AVE,42.26255067,-71.11582205,E18,Hyde Park
55,CHESTNUT HILL AVE,42.3353997,-71.15025675,D14,Brighton
58,RING RD,42.34813158,-71.08027002,D4,South End
59,TREMONT ST,42.33380683,-71.10377843,B2,Roxbury
60,CENTRE ST,42.31322316,-71.11409925,E13,Jamaica Plain
61,CROFTLAND AVE,42.28107109,-71.06925083,C11,Dorchester
62,KENSINGTON ST,42.3206268,-71.09108856,B2,Roxbury
