LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
1,LINCOLN ST,42.36,-71.14,D14,Brighton
2,HECLA ST,42.31,-71.06,C11,Dorchester
3,CAZENOVE ST,42.35,-71.07,D4,South End
4,NEWCOMB ST,42.33,-71.08,D4,South End
5,DELHI ST,42.28,-71.09,B3,Mattapan
6,TALBOT AVE,42.29,-71.07,C11,Dorchester
7,NORMANDY ST,42.31,-71.08,B2,Roxbury
8,LAWN ST,42.33,-71.11,B2,Roxbury
9,MASSACHUSETTS AVE,42.33,-71.07,C6,South Boston
10,LESLIE ST,42.3,-71.06,C11,Dorchester
11,OCEAN VIEW DR,42.32,-71.04,C6,South Boston
12,DALESSIO CT,42.34,-71.05,C6,South Boston
13,MARLBOROUGH ST,42.35,-71.09,D4,South End
14,WOODROW AVE,42.29,-71.09,B3,Mattapan
15,MULVEY ST,42.28,-71.1,B3,Mattapan
16,,42.35,-71.07,,
17,STONEHURST ST,42.31,-71.07,C11,Dorchester
18,HUNTINGTON AVE,42.35,-71.08,D4,South End
19,HORADAN WAY,42.33,-71.1,B2,Roxbury
20,SHIRLEY ST,42.33,-71.07,B2,Roxbury
21,WOLCOTT,-1,-1,,
22,BEACON ST,42.36,-71.07,A1,Downtown?
23,CAPEN ST,42.28,-71.08,B3,Mattapan
24,WASHINGTON ST,42.28,-71.14,E5,West Roxbury
25,ANNUNCIATION RD,42.34,-71.09,B2,Roxbury
26,,42.28,-71.06,,
27,MASSACHUSETTS AVE,42.33,-71.07,D4,South End
28,ANNAPOLIS ST,42.32,-71.06,C11,Dorchester
29,BLUE HILL AVE,42.3,-71.09,B3,Mattapan
30,CLARKWOOD ST,42.28,-71.09,B3,Mattapan
31,HANSBOROUGH ST,42.29,-71.09,B3,Mattapan
32,SALISBURY PARK,42.3,-71.06,C11,Dorchester
33,COLUMBIA RD,42.31,-71.08,B2,Roxbury
34,COTTAGE ST,42.37,-71.04,A7,East Boston
35,WILMORE ST,42.28,-71.09,B3,Mattapan
